No,Nama Tukang,Tempat kerja,Keahliah,Daerah,Jam kerja,Harga /jam,Rating
664,Budi Hadi,"Hadi Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"3,2"
665,Budi Gunawan,Gunawan Design dan Cetak,Design dan Cetak,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,4
666,Rizki Wijaya,Wijaya Tukang AC,Tukang AC,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,8"
667,Hendra Kurniawan,Kurniawan Instalasi Pipa,Instalasi Pipa,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,3"
668,Hadi Setiawan,Setiawan Instalasi Listrik,Instalasi Listrik,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"3,2"
669,Budi Saputri,Saputri Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,4
670,Rizki Ningsih,Ningsih Tukang Aluminium,Tukang Aluminium,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,2"
671,Dewi Setiawan,Setiawan Instalasi Pipa,Instalasi Pipa,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,3"
672,Toni Kusuma,Kusuma Tukang AC,Tukang AC,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"2,8"
673,Ratna Hartono,Hartono Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,4
674,Arif Wibowo,"Wibowo Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,1"
675,Ivan Kusuma,Kusuma Design Logo,Design Logo,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,8"
676,Joko Wijaya,Wijaya Instalasi Listrik,Instalasi Listrik,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"2,8"
677,Dewa Utami,Utami Tukang Kayu,Tukang Kayu,Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,8"
678,Ratna Susanto,Susanto Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,5"
679,Dewa Wibowo,Wibowo Tukang Kayu,Tukang Kayu,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"3,5"
680,Dwi Hartono,Hartono Design dan Cetak,Design dan Cetak,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,3"
681,Maya Pratama,Pratama Instalasi Listrik,Instalasi Listrik,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,7"
682,Maya Kurniawan,"Kurniawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,7"
683,Ratna Saputri,Saputri Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,6"
684,Dewa Gunawan,"Gunawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"3,5"
685,Rina Gunawan,"Gunawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"3,2"
686,Hadi Sari,Sari Design dan Fotografi,Design dan Fotografi,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,4
687,Fina Kurniawan,Kurniawan Foto dan Videografi,Foto dan Videografi,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,8"
688,Andi Saputra,Saputra Tukang AC,Tukang AC,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,4
689,Arief Nugroho,Nugroho Design Logo,Design Logo,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,3"
690,Sari Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,1"
691,Ani Saputra,Saputra Design dan Fotografi,Design dan Fotografi,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,1"
692,Adi Wibowo,Wibowo Design dan Cetak,Design dan Cetak,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,1"
693,Budi Hartono,Hartono Instalasi Pipa,Instalasi Pipa,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,7"
694,Hendra Saputri,"Saputri Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,5"
695,Fina Wijaya,Wijaya Instalasi Listrik,Instalasi Listrik,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,5"
696,Ratna Utami,Utami Instalasi Listrik,Instalasi Listrik,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,6"
697,Budi Permatasari,Permatasari Instalasi Listrik,Instalasi Listrik,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,2"
698,Ratna Saputri,Saputri Design dan Cetak,Design dan Cetak,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"3,2"
699,Reza Wibowo,Wibowo Instalasi Listrik,Instalasi Listrik,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,3"
700,Hendra Sari,Sari Foto dan Videografi,Foto dan Videografi,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,2"
701,Toni Setiawan,Setiawan Design Logo,Design Logo,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,9"
702,Reza Saputra,"Saputra Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
703,Agus Wati,Wati Design dan Fotografi,Design dan Fotografi,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,8"
704,Surya Hadi,Hadi Design dan Cetak,Design dan Cetak,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,6"
705,Arif Kurniawan,"Kurniawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,5"
706,Andi Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,9"
707,Dian Permatasari,Permatasari Tukang AC,Tukang AC,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,4
708,Sari Wijaya,Wijaya Design Logo,Design Logo,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,5"
709,Hadi Wibowo,Wibowo Design dan Cetak,Design dan Cetak,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,9"
710,Rizki Ningsih,Ningsih Foto dan Videografi,Foto dan Videografi,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,7"
711,Budi Setiawan,Setiawan Instalasi Pipa,Instalasi Pipa,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"3,5"
712,Putri Pratama,"Pratama Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Pekalongan,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,8"
713,Toni Hartono,Hartono Foto dan Videografi,Foto dan Videografi,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"3,2"
714,Dewi Purba,Purba Design dan Fotografi,Design dan Fotografi,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,2"
715,Budi Saputra,Saputra Design dan Cetak,Design dan Cetak,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,1"
716,Ahmad Lestari,Lestari Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"2,8"
717,Hendra Gunawan,Gunawan Design Logo,Design Logo,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,1"
718,Rahayu Kusuma,Kusuma Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,2"
719,Rudi Nugroho,Nugroho Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"2,8"
720,Reza Ningsih,"Ningsih Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,6"
721,Rudi Nugroho,Nugroho Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,1"
722,Joko Pratama,"Pratama Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,9"
723,Ani Saputri,Saputri Foto dan Videografi,Foto dan Videografi,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,5"
724,Ratna Saputra,Saputra Tukang Kayu,Tukang Kayu,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,5"
725,Budi Lestari,Lestari Tukang Kayu,Tukang Kayu,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"3,5"
726,Ratna Setiawan,Setiawan Tukang AC,Tukang AC,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,2"
727,Rahayu Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,9"
728,Ivan Nugroho,Nugroho Design Logo,Design Logo,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"2,8"
729,Fitri Sari,Sari Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"2,8"
730,Wati Kusuma,Kusuma Foto dan Videografi,Foto dan Videografi,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,1"
731,Hadi Saputra,"Saputra Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"3,2"
732,Surya Susanto,Susanto Design dan Cetak,Design dan Cetak,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,6"
733,Wati Saputri,"Saputri Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"2,8"
734,Agus Purba,Purba Design dan Fotografi,Design dan Fotografi,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"3,5"
735,Dewi Pratama,Pratama Tukang Aluminium,Tukang Aluminium,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"3,2"
736,Ahmad Permatasari,"Permatasari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,3"
737,Arif Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"3,2"
738,Hery Wibowo,Wibowo Design Logo,Design Logo,Surabaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,2"
739,Lina Hadi,Hadi Tukang Kayu,Tukang Kayu,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,9"
740,Joko Permatasari,"Permatasari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
741,Ani Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,7"
742,Rizki Utami,Utami Design dan Cetak,Design dan Cetak,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,8"
743,Hendra Saputri,Saputri Instalasi Listrik,Instalasi Listrik,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,6"
744,Hery Wati,Wati Tukang Aluminium,Tukang Aluminium,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,7"
745,Ivan Nugroho,"Nugroho Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,2"
746,Rizki Sari,"Sari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"3,5"
747,Agus Ningsih,Ningsih Tukang Kayu,Tukang Kayu,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"2,8"
748,Citra Lestari,Lestari Tukang AC,Tukang AC,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,6"
749,Reza Lestari,"Lestari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"3,5"
750,Toni Lestari,"Lestari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,8"
751,Rini Purba,Purba Foto dan Videografi,Foto dan Videografi,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,6"
752,Nina Hartono,Hartono Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"3,5"
753,Rini Pratama,Pratama Instalasi Pipa,Instalasi Pipa,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,6"
754,Rizki Setiawan,Setiawan Tukang Kayu,Tukang Kayu,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,5"
755,Yanti Purba,Purba Tukang Aluminium,Tukang Aluminium,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"3,2"
756,Rizki Saputra,Saputra Design dan Cetak,Design dan Cetak,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"3,2"
757,Rudi Wibowo,Wibowo Tukang AC,Tukang AC,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"2,8"
758,Eko Susanto,"Susanto Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"2,8"
759,Hendra Lestari,Lestari Tukang Aluminium,Tukang Aluminium,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,5"
760,Hery Utami,Utami Design dan Cetak,Design dan Cetak,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"2,8"
761,Maya Pratama,Pratama Instalasi Listrik,Instalasi Listrik,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,6"
762,Hadi Susanto,Susanto Design Logo,Design Logo,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,3"
763,Reza Wati,Wati Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,4
764,Hendra Wibowo,Wibowo Design dan Fotografi,Design dan Fotografi,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,7"
765,Putri Hartono,"Hartono Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,9"
766,Ahmad Lestari,"Lestari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"3,2"
767,Yanti Pratama,Pratama Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,7"
768,Siti Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,6"
769,Andi Hartono,Hartono Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,9"
770,Joko Pratama,Pratama Tukang Aluminium,Tukang Aluminium,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"3,5"
771,Wati Utami,Utami Tukang Kayu,Tukang Kayu,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,5"
772,Linda Saputra,Saputra Design dan Fotografi,Design dan Fotografi,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,1"
773,Dwi Wijaya,Wijaya Instalasi Listrik,Instalasi Listrik,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,7"
774,Fitri Lestari,Lestari Tukang Kayu,Tukang Kayu,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,2"
775,Lina Utami,Utami Tukang AC,Tukang AC,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,2"
776,Reza Purba,Purba Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"3,2"
777,Rudi Wati,Wati Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,2"
778,Ahmad Purba,Purba Tukang AC,Tukang AC,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,3"
779,Agus Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,1"
780,Siti Saputra,Saputra Tukang AC,Tukang AC,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,9"
781,Ratna Pratama,"Pratama Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,7"
782,Nina Sari,"Sari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,9"
783,Fina Permatasari,Permatasari Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,6"
784,Maya Wibowo,Wibowo Foto dan Videografi,Foto dan Videografi,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,2"
785,Toni Purba,Purba Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,3"
786,Sinta Hadi,Hadi Design Logo,Design Logo,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,6"
787,Andi Susanto,Susanto Tukang Aluminium,Tukang Aluminium,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,3"
788,Dewi Hadi,Hadi Tukang AC,Tukang AC,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,6"
789,Joko Wati,Wati Instalasi Listrik,Instalasi Listrik,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,2"
790,Fitri Hadi,Hadi Foto dan Videografi,Foto dan Videografi,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"3,5"
791,Lina Wati,"Wati Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,3"
792,Ahmad Wibowo,Wibowo Design dan Fotografi,Design dan Fotografi,Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,5"
793,Eko Hartono,Hartono Tukang Kayu,Tukang Kayu,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,3"
794,Rini Wijaya,Wijaya Foto dan Videografi,Foto dan Videografi,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,3"
795,Nina Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,9"
796,Ratna Lestari,Lestari Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,8"
797,Lina Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,9"
798,Reza Utami,Utami Tukang Aluminium,Tukang Aluminium,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,8"
799,Budi Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,4
800,Fitri Saputri,Saputri Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,5"
801,Ratna Purba,Purba Instalasi Listrik,Instalasi Listrik,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,5"
802,Agus Kurniawan,Kurniawan Design dan Fotografi,Design dan Fotografi,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,8"
803,Agus Gunawan,Gunawan Tukang Kayu,Tukang Kayu,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,6"
804,Hendra Gunawan,Gunawan Instalasi Pipa,Instalasi Pipa,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"3,5"
805,Yanti Purba,Purba Tukang AC,Tukang AC,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,8"
806,Surya Gunawan,Gunawan Tukang AC,Tukang AC,Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,9"
807,Dwi Kusuma,"Kusuma Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"3,2"
808,Ratna Susanto,"Susanto Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,7"
809,Budi Lestari,Lestari Design dan Fotografi,Design dan Fotografi,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,6"
810,Andi Permatasari,Permatasari Instalasi Pipa,Instalasi Pipa,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"2,8"
811,Lina Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,1"
812,Wati Setiawan,Setiawan Instalasi Listrik,Instalasi Listrik,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"2,8"
813,Ivan Setiawan,Setiawan Tukang AC,Tukang AC,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"3,2"
814,Siti Ningsih,"Ningsih Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"3,5"
815,Dewa Hadi,Hadi Instalasi Pipa,Instalasi Pipa,Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"3,5"
816,Eko Nugroho,"Nugroho Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,7"
817,Joko Kusuma,Kusuma Tukang Kayu,Tukang Kayu,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,2"
818,Sinta Wibowo,Wibowo Design dan Cetak,Design dan Cetak,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"3,5"
819,Yanti Lestari,Lestari Design Logo,Design Logo,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,8"
820,Rina Permatasari,"Permatasari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"3,5"
821,Fina Utami,Utami Tukang AC,Tukang AC,Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"2,8"
822,Ivan Gunawan,Gunawan Design dan Cetak,Design dan Cetak,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,5"
823,Nina Pratama,"Pratama Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,5"
824,Rini Gunawan,Gunawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,9"
825,Fina Saputri,Saputri Instalasi Pipa,Instalasi Pipa,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,1"
826,Budi Susanto,Susanto Foto dan Videografi,Foto dan Videografi,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,2"
827,Joko Kusuma,"Kusuma Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,2"
